ID,Prediction
68963,Preclinical
50136,Phase 2
13558,Phase 2
177505,Phase 1/2
177645,Phase 1
98612,Phase 3
159383,Phase 1
114111,Phase 2
161540,Phase 2
22488,Phase 2/3
170579,Terminated
67054,Patented
87369,Approved
85247,Investigative
89424,Approved
12319,Terminated
184663,Approved
85413,Approved
104789,Phase 2
76563,Approved
122595,Phase 1
133414,Approved
115085,Phase 1
177625,Phase 2
126219,Preclinical
161852,Approved
20566,Discontinued in Phase 2
80919,Discontinued in Phase 2
43114,Phase 3
102958,Approved
8929,Approved
176903,Phase 2a
129615,Phase 2
15698,Phase 1/2
4196,Phase 2
111757,Patented
155331,Phase 2
128869,Terminated
128290,Investigative
142723,Phase 2
14303,Phase 3
168860,Approved
129626,Phase 2
153138,Preclinical
29323,Phase 1/2
36,Approved
77980,Approved
69735,Phase 1
143637,Approved
157411,Discontinued in Phase 2
154698,Phase 2
44452,Phase 2
38880,Phase 2
129482,Terminated
137704,Approved
130774,Phase 3
161541,Approved
140792,Investigative
188703,Approved
118319,Investigative
80811,Investigative
189727,Phase 1
10400,Withdrawn from market
12683,Investigative
105378,Terminated
113239,Phase 1
134386,Phase 2/3
172707,Discontinued in Phase 3
89486,Investigative
81412,Phase 2
31854,Discontinued in Phase 1
182810,Phase 2
50817,Phase 2
145388,Approved
145701,Approved
28637,Investigative
107257,Phase 2
143781,Approved
96993,Phase 2
64049,Approved
26474,Phase 2
37543,Phase 1
90832,Discontinued in Phase 1
99454,Phase 2
139103,Phase 2
81502,Phase 2
122774,Phase 3
8270,Discontinued in Phase 3
111614,Patented
34090,Phase 2
94132,Terminated
148943,Phase 3
143723,Phase 1
15676,Phase 3
58345,Phase 2
110749,Patented
188730,Phase 2
23038,Phase 1
183869,Discontinued in Phase 2
62432,Phase 2
54213,Phase 3
125749,Approved
24770,Phase 1
112412,Discontinued in Phase 2
58052,Phase 2
100747,Phase 2
86719,Phase 1
7537,Investigative
176158,Approved
24883,Phase 2
64208,Approved
67820,Approved
49406,Approved
116603,Discontinued in Phase 2
56794,Approved
181908,Phase 1
144937,Phase 1
20190,Phase 2
50780,Terminated
132010,Approved
115544,Phase 3
50855,Phase 2
187053,Phase 1
155315,Preclinical
111719,Approved
13357,Investigative
176779,Terminated
42997,Preclinical
27356,Discontinued in Phase 2
128531,Approved
55105,Withdrawn from market
44949,Phase 2
130347,Phase 2
14947,Phase 1
8465,Terminated
92435,Phase 2
174850,Terminated
114688,Discontinued in Phase 1
20606,Phase 2
54840,Approved
142800,Phase 3
130504,Investigative
105842,Terminated
67492,Phase 2
88732,Phase 3
170258,Phase 3
120839,Approved
47429,Investigative
68703,Approved
57935,Phase 2
146411,Phase 2
1658,Phase 2
7515,Investigative
169430,Phase 3
68181,Phase 1
84265,Approved
84057,Approved
184009,Withdrawn from market
12863,Phase 3
125188,Investigative
179244,Phase 2/3
4073,Phase 2
84298,Phase 3
44413,Phase 2
184699,Approved
116922,Approved
184117,Withdrawn from market
188504,Approved
162874,Approved
161964,Discontinued in Phase 1
151,Investigative
118639,Investigative
101593,Phase 3
70294,Phase 1
134975,Approved
180664,Approved
113836,Phase 3
8227,Approved
69904,Phase 1
115275,Approved
34235,Phase 1
77162,Approved
175437,Discontinued in Phase 2
54523,Discontinued in Phase 3
130171,Phase 2
178943,Investigative
164728,Approved
191216,Phase 2
181961,Preclinical
62560,Investigative
145027,Investigative
126538,Phase 3
83928,Approved
168431,Discontinued in Phase 3
163118,Approved
52590,Approved
100336,Approved
109475,Phase 1
173808,Approved
40900,Investigative
172430,Phase 2
33072,Terminated
62879,Phase 2
10833,Phase 1/2
109228,Discontinued in Phase 3
131687,Phase 3
187830,Phase 2
46076,Phase 2
67637,Phase 4
90811,Discontinued in Phase 3
24802,Discontinued in Phase 2
28631,Investigative
13640,Phase 2
16126,Phase 3
186962,Phase 1
36751,Phase 1
48439,Approved
107421,Phase 2
99564,Approved
67606,Phase 2
176952,Phase 2
132953,Withdrawn from market
157406,Phase 1
72024,Investigative
175142,Phase 2/3
16022,Investigative
136397,Approved
153692,Phase 1
144946,Phase 2
39707,Terminated
173004,Investigative
160200,Terminated
10806,Approved
98701,Phase 2
76806,Approved
49021,Phase 2
99057,Phase 3
1836,Terminated
64798,Approved
129180,Phase 1b
8108,Approved
71084,Phase 2
178706,Phase 1
180445,Phase 1
127124,Phase 1
175201,Approved
5145,Phase 3
88977,Phase 1
147708,Phase 1
14307,Discontinued in Phase 2
47492,Clinical trial
5211,Investigative
53173,Investigative
115738,Phase 2
34199,Approved
69243,Approved
87697,Phase 1/2
187508,Phase 1
84321,Approved
84017,Approved
169864,Phase 1/2
30243,Approved
18939,Phase 3
89812,Discontinued in Phase 3
101690,Phase 1
92331,Discontinued in Phase 1
31216,Approved
42411,Patented
130831,Phase 2
52772,Phase 1
187670,Phase 3
177889,Approved
139070,Phase 2
100319,Approved
960,Approved
176599,Terminated
159088,Approved
2675,Phase 1
36291,Phase 2
99187,Phase 1
84968,Phase 1/2
101496,Discontinued in Phase 3
190158,Phase 2
70344,Phase 1
205,Phase 3
102356,Approved
162118,Approved
6226,Terminated
74421,Phase 2
169969,Investigative
84955,Phase 1/2
86598,Phase 1
138998,Approved
97611,Discontinued in Phase 1/2
108875,Phase 2
33713,Discontinued in Phase 2
161296,Terminated
38840,Phase 3
54875,Patented
11501,Phase 2
12753,Phase 1
54371,Approved
87139,Phase 1
137937,Phase 2
29005,Phase 1
13229,Phase 1
2608,Phase 1
75651,Phase 1
42732,Phase 3
126698,Phase 3
118927,Approved
180588,Phase 3
71594,Phase 1/2
6645,Phase 2
180924,Phase 3
95187,Approved
96216,Phase 2
10226,Withdrawn from market
67599,Investigative
107082,Phase 3
41809,Phase 2
52962,Phase 3
101429,Phase 2
53846,Phase 3
30832,Phase 2
72802,Approved
96934,Phase 2
132759,Withdrawn from market
57574,Phase 2
88654,Terminated
2676,Phase 1
96335,Phase 2
74465,Phase 3
84647,Phase 1/2
124738,Phase 2
182237,Phase 3
87727,Phase 1/2
133600,Approved
168224,Phase 2
87731,Phase 1/2
2661,Phase 2
60618,Approved
70401,Phase 2
39854,Phase 1/2
26459,Phase 2
32556,Phase 2
38502,Phase 2
151358,Phase 2/3
32027,Phase 3
75503,Approved
21445,Phase 2
91288,Approved
12348,Approved
146268,Approved
178230,Phase 3
47922,Approved
87299,Phase 2
86656,Investigative
41378,Phase 1
165900,Investigative
6621,Phase 3
89239,Approved
168662,Phase 2
40640,Phase 3
78675,Phase 2
33024,Phase 2
191987,Approved
140171,Phase 2
10481,Approved
17710,Phase 2
24597,Phase 2/3
155902,Discontinued in Phase 2
108779,Phase 3
32197,Phase 2
1994,Phase 3
57802,Phase 1
86544,Phase 1
58854,Approved
12294,Phase 1
90087,Phase 1
2690,Phase 2
51052,Terminated
143332,Phase 1/2
104891,Discontinued in Phase 1
143387,Phase 1
157227,Approved
119101,Approved
115429,Phase 2
61028,Approved
178256,Approved
165326,Phase 1
93467,Approved
140456,Terminated
72061,Phase 2
18626,Phase 2
146804,Phase 3
26547,Approved
153823,Phase 2
