ID,Prediction
1076,Approved
190816,Phase 2
180551,Phase 2
51630,Phase 2
50566,Phase 2
148985,Phase 2
71409,Phase 1
18091,Phase 1
39903,Phase 3
178779,Phase 2
2407,Phase 2
77234,Phase 2
111828,Investigative
82352,Approved
91923,Approved
100272,Approved
150202,Phase 2
69018,Phase 2
52918,Phase 2
139576,Phase 2
183241,Phase 2
19238,Phase 1
79175,Phase 1
86970,Phase 2
167681,Phase 2
41364,Phase 2
164543,Terminated
128103,Phase 2
108193,Phase 2
174744,Phase 3
76428,Phase 2
172171,Investigative
172407,Phase 2
75293,Phase 1
146326,Phase 3
109927,Phase 1
53344,Phase 2
175089,Phase 3
152739,Phase 1/2
117103,Discontinued in Phase 2
39865,Phase 2
163171,Phase 1
28134,Phase 1
35973,Phase 1
134865,Phase 2
179451,Phase 2
184077,Phase 1/2
97569,Phase 2
166430,Approved
29450,Phase 3
44419,Approved
23068,Discontinued in Phase 3
122443,Phase 2
161708,Approved
55646,Phase 2
36052,Approved
75218,Phase 2/3
65730,Approved
3414,Phase 2
42637,Terminated
84072,Terminated
54295,Phase 2
61724,Terminated
81456,Phase 2
159919,Phase 2
170561,Phase 2
97956,Phase 3
47124,Discontinued in Phase 2
101661,Phase 2
72399,Phase 2
11624,Approved
36380,Approved
142752,Phase 3
68178,Phase 2
155070,Approved
87634,Approved
20173,Phase 2
121712,Approved
22702,Phase 2
28424,Phase 2
58479,Phase 2
160461,Approved
135469,Phase 2
98016,Phase 2
25987,Phase 2
126791,Phase 3
198,Phase 2
83445,Approved
2427,Investigative
90338,Phase 2
29321,Phase 2
169121,Phase 2/3
71635,Investigative
64195,Phase 2
1280,Discontinued in Phase 2
45899,Phase 2
187156,Phase 2
615,Phase 1
1504,Phase 2
62231,Approved
185606,Approved
133311,Approved
1429,Phase 2
154212,Approved
115650,Phase 1
155951,Approved
166073,Phase 2
36424,Approved
92574,Approved
51518,Phase 2
173546,Phase 2
145905,Phase 2
58782,Phase 3
154622,Phase 2
49121,Approved
56599,Approved
28100,Phase 3
